Pathway,nGenesMapped,nGenesUsed,nSamples,ObservedP,empiricalP,Genes
752382_GO:0086010_membrane_depolarization_during_action_potential,37,30,1000,9.42116893688317e-08,0.025974025974026,CATSPER4_ATP1A2_CACNA1E_CACNA1S_SLC8A1_SCN2A_SCN7A_SCN11A_CACNA1D_ANK2_CATSPER3_KCNH2_CACNA1B_CATSPER1_TPCN2_SCN2B_SCN3B_CACNA1C_SCN8A_TPCN1_NALCN_CATSPER2_CACNA1H_CACNA1G_SCN4A_KCNJ2_CACNA1A_SCN1B_YWHAH_CACNA1I
83105_hsa05200_Pathways_in_cancer,386,322,1000,1.90353834328469e-31,0.025974025974026,GNB1_PLEKHG5_PIK3CD_MTOR_CASP9_WNT4_E2F2_HDAC1_CSF3R_SLC2A1_PTCH2_PIK3R3_JUN_JAK1_GNG12_PTGER3_LPAR3_GNAI3_WNT2B_NRAS_ARNT_TPM3_CKS1B_ARHGEF11_RXRG_FASLG_LAMC2_PTGS2_RASSF5_LAMB3_TRAF5_TGFB2_WNT3A_EGLN1_GNG4_FH_AKT3_ROCK2_ADCY3_RASGRP3_SOS1_EPAS1_MSH6_TGFA_CTNNA2_TCF7L1_PAX8_RALB_GLI2_CXCR4_ITGA6_ITGAV_STAT1_CASP8_FZD7_FZD5_FN1_WNT10A_COL4A3_VHL_RAF1_WNT7A_RARB_TGFBR2_MLH1_CTNNB1_RHOA_RASSF1_WNT5A_APPL1_MITF_TFG_CBLB_GSK3B_ADCY5_PIK3CB_AGTR1_MECOM_PLD1_GNB4_DVL3_FGF12_CTBP1_FGFR3_KIT_CXCL8_FGF5_MAPK10_NFKB1_LEF1_EGF_FGF2_HHIP_EDNRA_VEGFC_CASP3_ADCY2_SKP2_PTGER4_FGF10_ITGA2_PIK3R1_F2R_MSH3_APC_TCF7_WNT8A_CTNNA1_FGF1_PDGFRB_FGF18_MAPK9_E2F3_RXRB_PPARD_CDKN1A_HSP90AB1_LAMA4_HDAC2_LAMA2_PDGFA_GNA12_RAC1_IL6_CYCS_RALA_GLI3_ADCY1_EGFR_FZD9_GNAI1_HGF_FZD1_CDK6_GNG11_GNB2_PIK3CG_LAMB4_WNT2_WNT16_SMO_BRAF_SHH_FGF20_FGF17_NKX3-1_FZD3_FGFR1_IKBKB_TCEB1_RUNX1T1_CCNE2_FZD6_MYC_ADCY8_PTK2_CDKN2B_PRKACG_GNAQ_DAPK1_CKS2_PTCH1_TGFBR1_LPAR1_GNG10_TRAF1_LAMC3_RALGDS_RXRA_TRAF2_ITGB1_CUL2_FZD8_RET_CXCL12_MAPK8_NCOA4_CCDC6_CTNNA3_PTEN_FAS_WNT8B_FGF8_SUFU_TCF7L2_FGFR2_CTBP2_HRAS_TRAF6_SPI1_GNG3_RASGRP2_RELA_GSTP1_FADD_WNT11_FZD4_MMP1_ZBTB16_CBL_ARHGEF12_ETS1_WNT5B_FGF6_GNB3_CDKN1B_KRAS_WNT1_CDK2_CDK4_MDM2_KITLG_IGF1_HSP90B1_FZD10_FGF9_FLT3_BRCA2_CCNA1_FOXO1_LPAR6_EDNRB_FGF14_COL4A2_ADCY4_EGLN3_NFKBIA_SOS2_PTGER2_BMP4_HIF1A_MAX_FOS_TGFB3_BDKRB1_HSP90AA1_TRAF3_AKT1_RASGRP1_RAD51_FGF7_GNB5_DAPK2_MAP2K1_SMAD3_PML_ARNT2_IGF1R_GNG13_TCEB2_ADCY9_PRKCB_MAPK3_ADCY7_MMP2_CDH1_PLCG2_CRK_TP53_PIK3R5_NOS2_TRAF4_ERBB2_RARA_STAT3_FZD2_WNT9B_GNGT2_ITGA3_AXIN2_PRKCA_GRB2_BIRC5_RAC3_LAMA1_RALBP1_ROCK1_LAMA3_PIAS2_SMAD2_SMAD4_DCC_BCL2_GNA11_MAP2K2_PTGER1_F2RL3_PIK3R2_LPAR2_CCNE1_CEBPA_RASGRP4_AKT2_EGLN2_TGFB1_ARHGEF1_CBLC_GNG8_BAX_FLT3LG_KLK3_BIRC8_PRKCG_BMP2_PLCB4_BCL2L1_E2F1_PLCG1_STK4_MMP9_GNAS_LAMA5_BIRC7_RUNX1_BID_CRKL_MAPK1_BCR_RAC2_PDGFB_EP300_WNT7B
989120_GO:1903055_positive_regulation_of_extracellular_matrix_organization,17,16,1000,4.24477033133847e-06,0.025974025974026,DDR2_TGFB2_AGT_CLASP1_CLASP2_DAG1_PHLDB2_MFI2_FSCN1_PHLDB1_RGCC_CPB2_SMAD3_RLTPR_SOX9_TGFB1
1269487_R-HSA-1433557_Signaling_by_SCF-KIT,295,241,1000,9.04729734882047e-25,0.026973026973027,PIK3CD_MTOR_CASP9_CNKSR1_PTPRU_LCK_AGO3_PIK3R3_JAK1_PSMA5_RAP1A_MOV10_NRAS_THEM4_SHC1_LAMTOR2_SPTA1_PEA15_RASAL2_PPP2R5A_DUSP10_ACTN2_AKT3_RASGRP3_SOS1_CALM2_SPTBN1_RPS27A_SPRED2_DUSP2_PSMD14_STAT1_CD28_CREB1_ERBB4_FN1_CUL3_IRS1_PSMD1_IL5RA_RAF1_DUSP7_IL17RD_PSMD6_TRAT1_GSK3B_CD86_PIK3CB_RASA2_PIK3CA_PSMD2_FGFR3_KLB_TEC_KIT_BTC_PAQR3_FGF5_LAMTOR3_EGF_CAMK2D_FGF2_GAB1_FGG_RAPGEF2_RICTOR_FGF10_PIK3R1_RASGRF2_RASA1_FER_IL5_PPP2CA_HBEGF_FGF1_CAMK2A_FGF18_DUSP1_FGFR4_PSMB9_SYNGAP1_CDKN1A_FRS3_PPP2R5D_FOXO3_FYN_PSMB1_PDGFA_RAC1_PSMA2_CAMK2B_GRB10_EGFR_AKAP9_RASA4_PSMC2_BRAF_FGF20_FGF17_NEFL_DUSP4_PPP2CB_NRG1_FGFR1_LYN_ANGPT1_PTK2_JAK2_TEK_TLN1_SHC3_PSMD5_DAB2IP_PSMB7_MAPKAP1_SPTAN1_GRIN1_IL2RA_APBB1IP_RASGEF1A_VCL_NRG3_PTEN_CHUK_FGF8_DUSP5_FGFR2_HRAS_DUSP8_PSMA1_PSMC3_BAD_PPP2R5B_MAP3K11_SPTBN2_RPS6KB2_FGF3_ARRB1_GAB2_PPP2R1B_NCAM1_CBL_CHEK1_FGF6_VWF_CDKN1B_GRIN2B_KRAS_NR4A1_ERBB3_MDM2_FRS2_KITLG_DUSP6_BRAP_PTPN11_RASAL1_PEBP1_PSMD9_UBC_FGF9_KL_FOXO1_KBTBD7_IRS2_RASA3_PSMB11_CMA1_PSMA6_PSMC6_PSMA3_PPP2R5E_SPTB_CALM1_PPP2R5C_MARK3_AKT1_RASGRP1_SPTBN5_FGF7_MAP2K1_CSK_NRG4_RASGRF1_FES_PDPK1_GRIN2A_SOCS1_TNRC6A_LAT_MAPK3_PSMB10_PHLPP2_PSMD7_PSMB6_DLG4_UBB_GRAPL_KSR1_NF1_PSMD11_PSMB3_PSMD3_PSME3_ITGA2B_ITGB3_PHB_PSMC5_PRKCA_PSMD12_GRB2_TNRC6C_YES1_PSMA8_PHLPP1_SOCS6_MAP2K2_VAV1_WDR83_RASAL3_UBA52_RASGRP4_SPTBN4_GSK3A_CALM3_GRIN2D_AKT1S1_PPP2R1A_TRIB3_PSMF1_PTPRA_SRC_YWHAB_MMP9_PSMA7_MAPK1_IL2RB_PDGFB_TNRC6B_RBX1_PRR5
486709_GO:0000178_exosome_(RNase_complex),18,18,1000,2.68934887893912e-06,0.026973026973027,EXOSC10_PNPT1_C1D_EXOSC7_EXOSC9_SKIV2L2_EXOSC4_EXOSC3_EXOSC2_SUPV3L1_EXOSC1_EXOSC8_DIS3_DIS3L_CARHSP1_MPHOSPH6_EXOSC5_GTPBP1
486716_GO:0000185_activation_of_MAPKKK_activity,11,11,1000,2.12064701769492e-05,0.026973026973027,GADD45A_MAP4K3_TNF_GADD45G_DAB2IP_MAP4K2_MAP4K5_TRAF7_GADD45B_MAP4K1_TAB1
487901_GO:0002011_morphogenesis_of_an_epithelial_sheet,48,46,1000,1.57459245787267e-09,0.026973026973027,DVL1_PHACTR4_CYR61_RHOC_NOTCH2_VANGL2_SOX11_ADAM17_SOS1_TMEFF2_WNT7A_DAG1_WNT5A_PDCD10_ARHGAP24_MAP3K1_HBEGF_MSX2_DDR1_SRF_TBX20_TOR1A_COL5A1_NOTCH1_ARHGAP12_PARD3_CHUK_LIN7C_MMP12_PLET1_LRP6_ACVRL1_ITGA5_LCP1_MPP5_DLL4_SCNN1B_RLTPR_DVL2_HOXB4_LAMA1_ZNF565_ZNF527_MEGF8_JAG1_FLRT3
490806_GO:0005776_autophagosome,75,73,1000,1.45576306796302e-11,0.026973026973027,USP33_SH3GLB1_UBQLN4_MAP1LC3C_IL1B_RALB_ATG9A_ATG16L1_TBC1D5_FYCO1_RAB7A_PIK3R4_HTT_TBC1D14_WDFY3_IRGM_RAB24_SQSTM1_C6orf106_RAB23_ATG5_WIPI2_TECPR1_ATG9B_ENTPD4_TP53INP1_TMEM74_WASH1_C9orf72_UBQLN1_STX17_OPTN_PIP4K2A_NRBF2_VTI1A_TRIM21_AMBRA1_ATG16L2_VPS11_GABARAPL1_LRRK2_PIP4K2C_MAP1LC3B2_ORAI1_VPS33A_ULK1_TM9SF1_ATG14_ZFYVE1_VPS18_DAPK2_GABARAPL3_WASH3P_MEFV_CLN3_GABARAPL2_MAP1LC3B_GABARAP_PIP4K2B_HAP1_NBR1_OSBPL7_CALCOCO2_VMP1_WIPI1_RAB12_PIK3C3_TICAM1_TBC1D17_VPS16_TP53INP2_RPN2_SNAP29
492516_GO:0008168_methyltransferase_activity,200,184,1000,3.48913829160441e-21,0.026973026973027,ICMT_PRDM2_NSUN4_TYW3_TRMT13_DPH5_PRMT6_HENMT1_SETDB1_ASH1L_RRNAD1_METTL11B_METTL13_TRMT1L_RBBP5_SMYD2_TARBP1_MTR_TFB2M_DNMT3A_TRMT61B_DPY30_NDUFAF7_THUMPD2_CAMKMT_FBXO11_SMYD5_SMYD1_HNMT_METTL5_METTL8_METTL21A_SETMAR_THUMPD3_METTL6_SETD2_AMT_HEMK1_WDR82_NSUN3_TRMT10C_ALDH1L1_ECE2_WHSC1_TRMT44_ZCCHC4_NSUN7_PRDM8_TRMT10A_METTL14_PRDM5_SETD7_PRMT9_NSUN2_PRDM9_SETD9_DIMT1_OCLN_BHMT_PRDM6_FBLL1_NSD1_TPMT_EHMT2_CMTR1_GNMT_PRDM13_PRDM1_METTL24_TRMT11_PCMT1_TFB1M_FTSJ2_INMT_WBSCR27_NSUN5P1_MEPCE_KMT2E_C7orf60_METTL2B_EZH2_KMT2C_FAM86B2_KIAA1456_WHSC1L1_PCMTD1_TGS1_PRDM14_TRMT10B_C9orf114_NTMT1_PRDM12_WDR5_EDF1_EHMT1_SUV39H2_TRDMT1_NSUN6_COMTD1_DYDC2_AS3MT_METTL10_MGMT_RRP8_PRMT3_METTL15_PRDM11_METTL12_MEN1_KDM2A_FAM86C2P_LRTOMT_EED_ALKBH8_FDXACB1_NNMT_KMT2A_PRDM10_PRMT8_NOP2_METTL20_KMT2D_BCDIN3D_METTL7A_METTL7B_METTL21B_METTL25_ALDH1L2_PRDM4_COQ5_SETD1B_N6AMT2_SETDB2_METTL21EP_METTL17_METTL3_PRMT5_VCPKMT_TRMT5_SETD3_TRMT61A_LCMT2_METTL22_LCMT1_SETD1A_CIAPIN1_SETD6_PRMT7_CMTR2_GCSH_PRDM7_RNMTL1_SMYD4_METTL16_PEMT_SUZ12_MRM1_PNMT_EZH1_METTL2A_FTSJ3_METTL23_TYMS_METTL4_RNMT_CXXC1_DOT1L_DNMT1_CARM1_TRMT1_KMT2B_FBL_PRMT1_NDUFAF5_DNMT3B_PCMTD2_N6AMT1_GART_SETD4_PRDM15_WDR4_PRMT2_TRMT2A_TRMU
496325_GO:0016265_death,1093,679,1000,2.72681725980381e-55,0.026973026973027,GNB1_TNFRSF14_DFFB_PLEKHG5_PARK7_DFFA_TARDBP_TNFRSF1B_CASP9_EPHA2_MUL1_ECE1_E2F2_CLIC4_SLC9A1_XKR8_YARS_CLSPN_ZC3H12A_UTP11L_RRAGC_PLK3_MKNK1_FAF1_PCSK9_JUN_TM2D1_ITGB3BP_GADD45A_PTGER3_DNASE2B_CYR61_SH3GLB1_PKN2_GCLM_F3_VAV3_PSMA5_LAMTOR5_CHIA_HIPK1_NGF_CD2_NOTCH2_THEM4_IL6R_ADAM15_ARHGEF11_CD5L_AIM2_NCSTN_HSPA6_MAEL_FASLG_GLRX2_PHLDA3_CHI3L1_NUAK2_IL24_G0S2_TRAF5_TGFB2_TP53BP2_PSEN2_OBSCN_RYR2_NLRP3_KLF11_RHOB_DNMT3A_TMEM214_FOSL2_XDH_BIRC6_EIF2AK2_CYP1B1_SOS1_SIX3_PRKCE_MSH6_PSME4_RPS27A_PPP3R1_TIA1_CYP26B1_HK2_EVA1A_RNF103-CHMP3_EIF2AK3_KCNIP3_PDCL3_EDAR_BCL2L11_ZC3H8_IL1B_STEAP3_RALB_ERCC3_ARHGEF4_CXCR4_ACVR1C_DAPL1_PSMD14_FAP_CSRNP3_CDCA7_ATF2_ZNF385B_NCKAP1_ZSWIM2_GULP1_STAT1_STK17B_HSPE1_ALS2_BMPR2_CD28_NDUFS1_FZD5_ERBB4_VIL1_PAX3_CUL3_MFF_PSMD1_INPP5D_CAPN10_PDCD1_ITPR1_CIDEC_RAF1_SATB1_ZNF385D_SLC4A7_TGFBR2_PDCD6IP_MLH1_CSRNP1_CTNNB1_CCK_CCR2_SHISA5_RBM5_NISCH_PRKCD_SELK_APPL1_DNASE1L3_FHIT_PSMD6_MAGI1_ARL6IP5_RYBP_ROBO2_ROBO1_C3orf38_IFT57_ATG3_GSK3B_KPNA1_KALRN_FOXL2_RNF7_PLSCR1_SIAH2_IL12A_PDCD10_MECOM_ECT2_ZMAT3_FXR1_SOX2_LAMP3_PSMD2_SST_TP63_OPA1_PAK2_FGFR3_HTT_CD38_SLIT2_UBE2K_KIT_NOA1_RASSF6_SNCA_UNC5C_UBE2D3_AIMP1_LEF1_CASP6_IL2_JADE1_ARHGAP10_SFRP2_FNIP2_SH3RF1_HAND2_SLC25A4_TLR3_PDCD6_CLPTM1L_DAP_TRIO_ZNF622_DAB2_CARD6_MRPS30_GZMA_MAP3K1_PIK3R1_OCLN_NAIP_F2R_RASGRF2_MEF2C_EFNA5_APC_TMED7-TICAM2_SEMA6A_TNFAIP8_SNCAIP_LMNB1_FNIP1_IL4_PPP2CA_TMEM173_CD14_KIAA0141_PPP2R2B_CAMK2A_ANXA6_CYFIP2_SLIT3_NKX2-5_DDX41_MAPK9_GNB2L1_LY86_DSP_RNF144B_IER3_BAG6_BAK1_PPARD_MAPK14_PIM1_VEGFA_SLC25A27_TNFRSF21_TFAP2B_IL17A_GCLC_CASP8AP2_MAP3K7_EPHA7_GRIK2_ATG5_FOXO3_MICAL1_TRAF3IP2_GJA1_CTGF_SGK1_MAP3K5_PERP_PLAGL1_TIAM2_SOD2_RPS6KA2_C6orf120_PDCD2_INTS1_BRAT1_RAC1_MEOX2_AHR_IL6_CYCS_TAX1BP1_AQP1_ELMO1_GLI3_PSMA2_DBNL_IGFBP3_BCL7B_YWHAG_HGF_SEMA3A_GNGT1_PEG10_EPO_FIS1_PSMC2_PIK3CG_BCAP29_PNPLA8_CAV1_HIPK2_CASP2_CUL1_FASTK_SHH_DNAJB6_SOX7_USP17L2_NKX3-1_CLU_PPP2CB_UNC5D_ZMAT4_POLB_FNTA_PRKDC_RGS20_CRH_SULF1_LY96_NBN_TP53INP1_GDF6_STK3_YWHAZ_EBAG9_RAD21_TNFRSF11B_MYC_GSDMC_PTK2_GML_SHARPIN_JAK2_IL33_ACER2_IFNA2_CDKN2A_CAAP1_TOPORS_BAG1_NUDT2_HINT2_MELK_SHB_TJP2_PRUNE2_CTSL_GADD45G_FGD3_CTSV_ANP32B_TGFBR1_KLF4_TNFSF8_TLR4_BRINP1_DAB2IP_PSMB7_ENDOG_ABL1_VAV2_PAEP_MRPL41_PRKCQ_OPTN_FAM188A_VIM_CUL2_RET_MAPK8_ERCC6_SGMS1_CDK1_SIRT1_SRGN_UNC5B_DDIT4_PLAU_PPIF_GHITM_PTEN_IFIT2_TCTN3_SFRP5_PAX2_MGEA5_SLK_SMNDC1_PDCD4_CASP7_BAG3_FGFR2_DOCK1_MGMT_DPYSL4_PIDD1_BRSK2_PHLDA2_PGAP2_RRP8_EIF4G2_USP47_PTH_PSMA1_HTATIP2_GAS2_HIPK3_CD44_RAG1_API5_MTCH2_CD5_POLR2G_RTN3_PRDX5_BRMS1_LRP5_FADD_RELT_RPS3_PAK1_CTSC_TMEM123_CASP1_ATM_CRYAB_ZBTB16_CADM1_ZPR1_KMT2A_ARHGEF12_BLID_EI24_TP53AIP1_ING4_OLR1_BCL2L14_EMP1_IAPP_DNM1L_LRRK2_LALBA_FAIM2_CSRNP2_NR4A1_ESPL1_PDE1B_RNF41_DDIT3_TMBIM4_IFNG_MDM2_PHLDA1_PAWR_KITLG_CRADD_APAF1_SLC5A8_IGF1_TCHP_HRK_SUDS3_DYNLL1_HIP1R_UBC_PGAM5_GJB6_TNFRSF19_PARP4_HMGB1_BRCA2_FOXO1_SIAH3_HTR2A_RB1_CKAP2_STK24_LIG4_ARHGEF7_GAS6_PARP2_BCL2L2_GZMB_PRKD1_G2E3_EGLN3_NFKBIA_SOS2_PYGL_PSMC6_PSMA3_SIX1_SGPP1_MAX_ZFP36L1_MAP3K9_PSEN1_AREL1_SNW1_GPR65_PSMC1_MOAP1_IFI27_DICER1_HSP90AA1_TRAF3_PPP1R13B_CRIP1_TJP1_GREM1_EMC4_ACTC1_CHAC1_CAPN3_SHF_SHC4_TRPM7_BCL2L10_SLTM_BNIP2_APH1B_DAPK2_PDCD7_FEM1B_NOX5_UACA_PKM_PML_CTSH_ZFAND6_AKAP13_AEN_CIB1_MEF2A_RHOT2_THOC6_DNASE1_CDIP1_EMP2_LITAF_BFAR_PRKCB_SLC5A11_ATP2A1_MAPK3_PYDC1_SIAH1_CYLD_TOX3_AKTIP_CIAPIN1_CSNK2A2_ELMO3_PSMB10_CDH1_MLKL_WWOX_DPEP1_YWHAE_HIC1_P2RX1_NLRP1_ALOX15B_NTN1_MAP2K4_PMP22_UBB_LGALS9_TAOK1_NF1_PSMD11_NLE1_AATF_PSMB3_KRT20_ZNF385C_BRCA1_NMT1_MAPT_CDK5RAP3_UBE2Z_NGFR_PDK2_DYNLL2_RPS6KB1_DDX5_AXIN2_PRKCA_PSMD12_MAP2K6_SAP30BP_BIRC5_NPTX1_AATK_CLUL1_EPB41L3_VAPA_CIDEA_ROCK1_PSMA8_DSG2_ACAA2_DCC_PMAIP1_BCL2_GADD45B_DAPK3_TICAM1_VAV1_MAP2K7_CDKN2D_KANK2_CACNA1A_PKN1_CASP14_FAM32A_MAP1S_COMP_NDUFA13_PLEKHF1_PDCD5_GPI_APLP1_AKT2_TGFB1_GSK3A_PLAUR_BCL3_DMPK_PRKD2_C5AR1_NUP62_KLK8_PPP2R1A_BIRC8_TFPT_PTPRH_NLRP5_PEG3_CSNK2A1_PSMF1_AVP_PAK7_CST3_TPX2_E2F1_ITCH_SCAND1_CTNNBL1_TOP1_PIGT_EYA2_PTGIS_CEBPB_PSMA7_RGS19_APP_TIAM1_ITSN1_MX1_ITGB2_BID_C22orf29_AIFM3_PPM1F_PRAME_ADORA2A_XBP1_MTFP1_YWHAH_HMOX1_H1F0_ATF4_EP300_TSPO_WNT7B_GRAMD4_PIM3
498216_GO:0019373_epoxygenase_P450_pathway,18,9,1000,5.65196354834927e-05,0.026973026973027,CYP4A11_CYP2J2_CYP1B1_EPHX2_CYP2C8_CYP2E1_CYP1A2_CYP4F2_CYP2F1
498677_GO:0019900_kinase_binding,591,458,1000,1.62724247718404e-40,0.026973026973027,CCNL2_SKI_TP73_ERRFI1_MAD2L2_CASP9_RCC2_PINK1_CDC42_SFN_FGR_PTAFR_LCK_HPCA_SLC2A1_CDKN2C_IL12RB2_BCL10_PIFO_PTPN22_ATP1A1_PRKAB2_SV2A_PIP5K1A_RAB13_SHC1_NTRK1_USF1_DUSP12_MYOC_TPR_PTPRC_KIF14_ADIPOR1_LAX1_AVPR1B_PFKFB2_KCNH1_PPP2R5A_PTPN14_PARP1_RYR2_ITGB1BP1_TRIB2_C2orf44_SPDYA_RASGRP3_MSH2_CCDC88A_VRK2_SPRED2_PLEK_TPRKB_CD8A_DUSP2_LIMS1_MAP3K2_CCNT2_CACNB4_STK39_ATF2_TTN_DUSP19_ITGAV_SDPR_MOB4_CD28_FZD5_BARD1_STK11IP_ACSL3_IRS1_CAB39_UGT1A7_HDAC4_RAF1_SGOL1_TOP2B_TGFBR2_CLASP2_SCN5A_CTNNB1_CCR2_PTPN23_CDC25A_PRKAR2A_MST1_HYAL2_RAD54L2_TWF2_PRKCD_APPL1_CADPS_CBLB_TRAT1_GCSAM_GSK3B_HCLS1_NCK1_CCNL1_PDCD10_CAMK2N2_MAP3K13_DLG1_DGKQ_TNIP2_DOK7_JAKMIP1_TBC1D14_STAP1_MOB1B_PPEF2_PDLIM5_ANK2_CCNA2_SMAD1_WWC2_SLC12A7_RICTOR_PRKAA1_GHR_IL31RA_MAP3K1_PIK3R1_CCNB1_PAM_PJA2_APC_HINT1_VDAC1_H2AFY_CDC25C_TMEM173_JAKMIP2_PDGFRB_TNIP1_WWC1_NPM1_RGS14_MAPK9_GNB2L1_DSP_LSM2_SYNGAP1_STK38_CCND3_CDC5L_FAM83B_EEF1A1_IBTK_SNAP91_FOXO3_MARCKS_PTPRK_AKAP7_SGK1_MAP3K5_TNFAIP3_UTRN_SASH1_LATS1_FBXO5_EZR_PARK2_FGFR1OP_DACT2_PRKAR1B_RAC1_HDAC9_TAX1BP1_CAMK2B_SPDYE7P_STX1A_GTF2I_SPDYE5_YWHAG_PPP1R9A_SPDYE3_TRIP6_PRKRIP1_PRKAR2B_DOCK4_CAV1_ZC3HC1_BRAF_EPHA1_PRKAG2_ANGPT2_GATA4_DOK2_DPYSL2_PTK2B_KIF13B_NRG1_ADAM9_IKBKB_FNTA_RB1CC1_RGS20_PKIA_CPNE3_CCNE2_YWHAZ_ANGPT1_FAM83A_TRIB1_PTK2_FAM83H_JAK2_CNTLN_RPS6_CDKN2B_B4GALT1_SIT1_UBQLN1_NTRK2_SHC3_SYK_STX17_CDK5RAP2_DAB2IP_NEK6_MAPKAP1_STXBP1_GOLGA2_NCS1_ABL1_FBXW5_ITGB1_CCNY_CCNYL2_SIRT1_NRG3_LDB3_PTEN_FAS_KIF11_SORBS1_BLNK_ANKRD2_SUFU_ADD3_ADRA2A_TCF7L2_RAB11FIP2_GRK5_GLRX3_JAKMIP3_BRSK2_KCNQ1_TRIM22_ILK_MICALCL_PDE3B_PTPN5_PAX6_TRAF6_MAPK8IP1_LRP4_PTPRJ_CTNND1_RELA_GSTP1_TPCN2_CCND1_PPME1_RPS3_PAK1_GAB2_DLG2_TRIM49_ZPR1_CD3E_THY1_FEZ1_TIRAP_IGSF9B_WNK1_FOXM1_CCND2_KCNA5_CD4_KLRK1_BCL2L14_LDHB_PKP2_NELL2_PFKM_PRKAG1_RACGAP1_ACVRL1_ATF7_AGAP2_AVPR1A_FRS2_PTPRR_PPP1R12A_BTG1_TDG_CRY1_TRPV4_PPP1CC_PTPN11_PEBP1_PRKAB1_PXN_PIWIL1_CENPJ_NBEA_RGCC_AKAP11_RB1_BORA_SPRY2_DNAJC3_IRS2_ARHGEF7_GAS6_MYH6_DACT1_HIF1A_AKAP5_NEK9_CALM1_VRK1_CCNK_HSP90AA1_TRAF3_BAG5_AKT1_SLC12A6_SPRED1_CHP1_SHC4_MAPK6_ADAM10_PARP16_MAP2K1_SMAD3_CSK_CSPG4_PRC1_MEF2A_STUB1_PDPK1_TRAP1_DNAJA3_EMP2_SOCS1_PARN_GPRC5B_PRKCB_LAT_TAOK2_STX1B_CYLD_TRADD_SLC12A4_MARVELD3_MLKL_BCAR1_ARRB2_C1QBP_PITPNM3_PER1_SPDYE4_LLGL1_MAPK7_MAP2K3_KSR1_TRAF4_CDK5R1_RFFL_SRCIN1_CACNB1_GRB7_TOP2A_JUP_STAT3_HDAC5_GFAP_MAPT_NSF_SKAP1_PPP1R9B_NME1_TOM1L1_AKAP1_TEX14_CLTC_PPM1D_STRADA_AXIN2_PRKAR1A_MAP2K6_SOX9_GRB2_PRPSAP1_RPTOR_ARHGDIA_PTPN2_GATA6_CDH2_RNF138_ELP2_MAPK4_CD226_NFATC1_DIRAS1_EEF2_TICAM1_SAFB_INSR_ELAVL1_PIN1_DNM2_PRKCSH_PKN1_RAB8A_PIK3R2_CCNE1_CEBPA_MAG_ZFP36_AKT2_LIPE_DACT3_ATF5_FIZ1_ANGPT4_MAVS_PCNA_PLCB4_KIZ_TPX2_E2F1_CEP250_SRC_FAM83D_PLCG1_SDC4_ELMO2_PTPN1_AURKA_EEF1A2_RGS19_TIAM1_IFNAR2_PFKL_ITGB2_MAPK1_XBP1_NEFH_PIK3IP1_FBXO7_PLA2G6_EP300_MAPK8IP2
